unique_values,counts
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJhbmdlbGFjb3J0bmVyQG1zbi5jb20ifQ%3D%3D,2
https://buff.ly/2TqIDxS,2
https://zpr.io/R2cNE,2
https://www.bitchute.com/video/x8mIUb0jZzz4/,2
http://VAERS.com,2
http://Wonder.cdc.gov,2
https://www.reuters.com/article/factcheck-vaers-deaths-idUSL1N2MZ2H8,2
http://Truth11.com,2
http://Vaers.hhs.gov,2
https://www.medrxiv.org/content/10.1101/2021.06.10.21258589v1?rss=1%22,2
https://chute.rocks/kxzvsg0a8S4h,2
https://rumble.com/vfhko9-dr.-gold-awaken.html,2
https://article.worldnews.com/view/2021/06/13/WATCH_US_CDC_removes_150K_deaths_from_VAERS_Vaccine_Adverse_/,2
https://childrenshealthdefense.org/defender/vaers-data-reports-injuries-12-to-17-year-olds-more-than-triple/,2
https://t.me/JustDudeChannel,2
https://storage.courtlistener.com/recap/gov.uscourts.txsd.1830373/gov.uscourts.txsd.1830373.7.0.pdf,2
https://www.thegatewaypundit.com/2021/06/shocking-jump-vaccine-deaths-reported-week-cdc-linked-vaers-tracking-website/?utm_source=Gab&utm_campaign=websitesharingbuttons,2
https://www.nebraskamed.com/COVID/does-vaers-list-deaths-caused-by-covid-19-vaccines,2
https://chute.rocks/czUu4Q81OZ1e,2
https://wonder.cdc.gov/controller/datarequest/D8;jsessionid=7AFE7A527A96F4F14829A9699E87,2
https://stateofthenation.co/?p=68859,2
https://americasfrontlinedoctors.org/frontlinenews/urgent-british-report-calls-for-complete-cessation-of-covid-vaccines-in-humans/,2
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJoYXZlbjIwQG91dGxvb2suY29tIn0%3D,2
https://nypost.com/2021/06/09/panthers-sam-darnold-still-mulling-covid-19-vaccine/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons,2
https://ukfreedomproject.org/covid-19-vaccines-yellow-card-analysis/,2
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJua3N3aWdAZ21haWwuY29tIn0%3D,1
https://www.fda.gov/media/150054/download,1
https://neweralive.na/posts/letter-covid-19-vaccination-facts-risks-and-the-whole-virus,1
https://youtu.be/D3x0rQT_eSw,1
https://www.visiontimes.com/2021/03/08/covid-19-vaccine-miscarriage-stillbirth-concerns-for-mothers.html,1
https://www.nytimes.com/2021/06/11/health/cdc-vaccine-heart-inflammation.html,1
https://www.thegatewaypundit.com/2021/06/shocking-jump-vaccine-deaths-reported-week-cdc-linked-vaers-tracking-website/?utm_source=Telegram&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons,1
https://medalerts.org/vaersdb/findfield.php?EVENTS=on&PAGENO=5&PERPAGE=100&ESORT=&REVERSESORT=&VAX=(COVID19)&DIED=Yes,1
https://www.rumormillnews.com/cgi-bin/forum.cgi?read=174516,1
https://greatmountainpublishing.com/2021/04/05/new-study-confirms-the-vaers-system-is-only-reporting-approximately-1-of-anaphylaxis-from-covid-19-vaccines/,1
https://youtu.be/-_NNTVJzqtY,1
https://threadreaderapp.com/thread/1402984236634701829.html,1
https://www.cdc.gov/vaccinesafety/ensuringsafety/monitoring/vaers/access-VAERS-data.html,1
https://odysee.com/@hugotalks:8/Are-VAERS-Deleting--Replacing-VACCINE-DEATHS-Hugo-Talks--lockdown:c,1
http://vaers.com,1
https://chute.rocks/R4P4jrAbEvoh,1
https://www.thegatewaypundit.com/2021/06/shocking-jump-vaccine-deaths-reported-week-cdc-linked-vaers-tracking-website/?fbclid=IwAR1in3XCFaJTiAD3fD66-lWX_hRoAC0yv8iIY9liPXaWgwABOIkrwFZmWUw,1
https://teamtuckercarlson.com/news/shocking-jump-in-vaccine-deaths-reported-this-week-at-cdc-linked-vaers-tracking-website/@MichelleRempel,1
http://momswhovax.blogspot.com/2011/10/incredible-hulk-vaccine-side-effect-or.html?m=1,1
https://www.theepochtimes.com/judge-dismisses-vaccine-mandate-lawsuit-by-staff-of-houston-hospital_3856271.html?utm_campaign=socialshare_twitter&utm_source=twitter.com,1
https://www.youtube.com/watch?v=LPs0aqnPCHc,1
https://pubmed.ncbi.nlm.nih.gov/33039207/,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJ0aGVvQGJsdWVnZWFyLm5sIn0%3D,1
https://humansarefree.com/2021/06/cdc-5888-dead-329021-injured-from-covid-19-shots-more-than-previous-29-years-of-vaers-vaccine-deaths.html?fbclid=IwAR2fVy6L7dYNK3xUD1-1GPfk-M8c2UkgJwk4-jd3uQjZzl14Y3yDNJUuHiI,1
https://syrianews.cc/vaers-eua-data-fda-advisory-meeting-msm-should-fight-misinformation/,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily,1
https://m.facebook.com/story.php?story_fbid=10158138982677805&id=634842804,1
https://www.bitchute.com/video/6qOEk3p7uMB7/,1
https://t.me/vax_deaths/856,1
https://www.bitchute.com/video/DPMQabbHFhpQ/,1
https://t.me/Restricted1900/4939,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJ0ZWNobm9lbXBvcml1bUB5YWhvby5jb20ifQ%3D%3D,1
https://blog.goo.ne.jp/yuhi2019/e/ce02097dd52796a697535b16ff962371,1
https://www.minds.com/newsfeed/1249998744266084352,1
https://medrxiv.org/cgi/content/short/2021.06.10.21258589v1,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJzeWV2ZW5zbGFyb3NlQGdtYWlsLmNvbSJ9,1
https://www.openvaers.com/,1
https://www.reuters.com/article/factcheck-vaers-deaths-idUSL1N2LV0NY,1
https://www.reuters.com/article/factcheck-vaers-deaths/fact-check-vaers-reported-vaccine-deaths-have-not-been-confirmed-or-deemed-causal-by-cdc-idUSL1N2MZ2H8,1
http://lesakerfrancophone.fr/le-bilan-eleve,1
https://openvaers.com/openvaers,1
https://www.medalerts.org/vaersdb/findfield.php?TABLE=ON&GROUP1=AGE&EVENTS=ON&VAX=COVID19&DIED=Yes,1
https://dissident.one/2021/04/16/cdc-3-005-geregistreerde-sterfgevallen-in-vaers-na-covid-19-experimentele-vaccins-meer-dan-het-totaal-aantal-sterfgevallen-door-vaccins-in-de-afgelopen-13-jaar/,1
https://digital.ahrq.gov/sites/default/files/docs/publication/r18hs017045-lazarus-final-report-2011.pdf,1
https://www.bitchute.com/video/DkAf3Vq8h1Ma/,1
https://www.youtube.com/watch?v=JzQQL5ZXn08,1
https://tiny.iavian.net/1crtn,1
https://talesfromtheloublog.wordpress.com/2021/06/13/cdc-5888-dead-329021-injured-from-covid-19-shots-more-than-previous-29-years-of-vaers-vaccine-deaths/,1
https://www.medalerts.org/vaersdb/index.php?fbclid=IwAR0_e7nZYN47CTlHUSNzR3YkYNIwCdJ3deLnzkctYJ-msdfvAqr751o9vdU,1
https://patriotdailywire.com/shocking-jump-in-vaccine-deaths-reported-this-week-at-cdc-linked-vaers-tracking-website/,1
https://www.gov.uk/government/publications/coronavirus-covid-19-vaccine-adverse-reactions/coronavirus-vaccine-summary-of-yellow-card-reporting,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJzY3JlYW1pbmdzYXJkaW5lQHlhaG9vLmNvbSJ9,1
https://trialsitenews.com/silicon-valley-drug-development-philanthropist-tours-vaers-comparing-influenzas-covid-19-vaccine-data/,1
https://docs.google.com/document/d/1XWr2ZBn2dqJ-4rwJabDV5HBnLpatUnYI3jCP7l9c6b8/edit,1
https://www.bitchute.com/video/PJAV05IzfRV0/,1
https://lesakerfrancophone.fr/le-bilan-eleve-des-pertes-causees-par-les-vaccins-a-arn-messager-appelle-une-reponse-urgente,1
https://www.bitchute.com/video/R4P4jrAbEvoh/,1
https://newsroom.heart.org/news/covid-19-vaccine-benefits-still-outweigh-risks-despite-possible-rare-heart-complications,1
https://crazzfiles.com/cdc-caught-deleting-150k-of-vaccine-death-cases-from-vaers-website-vaccine-genocide/,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJqZXJyeWI1OUBob3RtYWlsLmNvbSJ9,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJhaXJjb204QGdtYWlsLmNvbSJ9,1
https://francemediasnumerique.com/2021/06/13/hausse-choquante-des-deces-dus-aux-vaccins-signales-cette-semaine-sur-le-site-de-suivi-de-la-vaccination-vaers-lie-aux-cdc/,1
https://www.foxnews.com/opinion/tucker-carlson-how-many-americans-have-died-after-taking-the-covid-vaccine,1
https://blog.goo.ne.jp/yuhi2019/e/b80bbb9dcbaa3dd240a31885212c9535,1
https://www.ndtv.com/india-news/unplanned-vaccination-can-promote-mutant-strains-health-experts-in-report-to-prime-minister-narendra-modi-2461058?amp=1&akamai-rum=off&__twitter_impression=true&amp=1&akamai-rum=off&__twitter_impression=true&amp=1&akamai-rum=off&__twitter_impression=true&amp=1&akamai-rum=off&__twitter_impression=true&amp=1&akamai-rum=off&__twitter_impression=true,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJ0b20yYm9vZ2llQGdtYWlsLmNvbSJ9,1
https://www.vice.com/en/article/qjpmp7/anti-vaxxers-misuse-federal-data-to-falsely-claim-covid-vaccines-are-dangerous,1
https://www.bitchute.com/video/czUu4Q81OZ1e/?list=subscriptions,1
https://chute.rocks/6qOEk3p7uMB7,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJjb2xpbkBrdWhsbWFubnMuY28uemEifQ%3D%3D,1
https://www.sgtreport.com/2021/06/shocking-jump-in-vaccine-deaths-reported-this-week-at-cdc-linked-vaers-tracking-website/,1
https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/myocarditis.html,1
https://vaccineimpact-com.translate.goog/?_x_tr_sl=auto&_x_tr_tl=fr&_x_tr_hl=fr&_x_tr_pto=ajax,1
https://youtu.be/bMY2tdFNkRU,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJhbGVvbmFyZG84NEByb2NrZXRtYWlsLmNvbSJ9,1
https://www.cdc.gov/vaccinesafety/ensuringsafety/monitoring/vaers/reportingaes.html,1
https://www.greenmedinfo.com/blog/latest-vaers-data-show-5165-deaths-reported-following-covid-vaccines?utm_campaign=Daily%20Newsletter%3A%20Latest%20VAERS%20Data%20Show%3A%205%2C165%20Deaths%20Reported%20Following%20COVID%20Vaccines%20%28SzKA5U%29&utm_medium=email&utm_source=Daily%20Newsletter&_ke=eyJrbF9jb21wYW55X2lkIjogIksydlhBeSIsICJrbF9lbWFpbCI6ICJjYXR0bWFuMDdAeWFob28uY2EifQ%3D%3D,1
https://www.joshwho.net/major-jump-in-vaccine-deaths-reported-this-week-at-cdc-linked-vaers-tracking-website/?utm_campaign=shareaholic&utm_medium=twitter&utm_source=socialnetwork,1
http://mirastnews.net/2021/06/13/cdc-5-888-deces-et-329-021-blessures-dues-aux-injections-covid-19-plus-que-les-29-annees-precedentes-de-deces-par-le-vaccin-vaers/,1
https://chute.rocks/5KkhEI0YsXGP,1
https://www.bitchute.com/video/q0uXNYmEqYp6/,1
https://m.theepochtimes.com/mkt_breakingnews/judge-dismisses-vaccine-mandate-lawsuit-by-staff-of-houston-hospital_3856271.html/amp?utm_source=newsnoe&utm_medium=email&utm_campaign=breaking-2021-06-13-1&mktids=b5c36d66184e079482127cb7a0badfce&est=WQttvP3CGvLskxTyrVlKXhYI0uOzsNPQ8FPNwWeW38oeEgDjmak1HvVrAV3kLzzO&__twitter_impression=true,1
https://welovetrump.com/2021/06/13/massive-jump-in-covid-vaccine-deaths-around-the-world/,1
